0.7720,0.3170,-1.4610,-38.0000,81.0000,-88.3550
0.0560,-0.2950,-6.9400,-37.0000,88.0000,-79.9450
0.8550,0.4620,-6.2560,-43.0000, 9.0000,-75.9720
0.3840,0.3580,-0.4370,24.0000,67.0000,-86.8810
0.4000,-0.5430,-7.9790, 6.0000,51.0000,-85.8520
0.3250,0.6050,-9.8620,34.0000,34.0000,-86.0110
0.5550,0.8160,-4.3670,-40.0000,59.0000,-90.0040
0.2950,-0.2120,-3.4470,-25.0000,36.0000,-77.7890
0.3660,0.2840,-0.4880,-45.0000,21.0000,-86.3330
0.3490,0.5990,-2.2520,16.0000,27.0000,-81.5140
0.6300,-0.0890,-5.8100,-22.0000,10.0000,-86.7850
0.6640,1.6880,-6.0140,21.0000,16.0000,-80.1710
0.9920,1.3070,-2.5250,-37.0000,33.0000,-86.0440
0.9440,0.1390,-6.5430, 2.0000,60.0000,-81.1120
0.3500,0.2420,-0.6010,-46.0000,16.0000,-90.5190
0.1930,1.1990,-9.4050,-40.0000, 7.0000,-81.6090
0.9200,0.6510,-0.9250,-3.0000, 1.0000,-86.5260
0.2890,1.0740,-3.3400,21.0000,78.0000,-87.7950
0.5510,1.0160,-6.5100,10.0000,69.0000,-78.3900
0.9190,1.0300,-5.0390,-30.0000,13.0000,-86.5310
0.0900,-0.3960,-5.3090,12.0000,72.0000,-88.4470
0.2580,0.2170,-3.7910,20.0000,17.0000,-87.3460
0.4270,-0.1250,-7.6890,-19.0000,13.0000,-77.9780
0.5780,-0.4470,-2.8250,31.0000,69.0000,-76.7550
0.9000,-0.3570,-6.4930,-33.0000,15.0000,-88.8980
0.2180,0.7130,-9.2220,-26.0000, 6.0000,-91.6620
0.9670,0.8760,-3.3070,10.0000,14.0000,-87.7790
0.4340,1.0610,-8.1340,37.0000, 2.0000,-90.4660
0.7850,1.0830,-7.8760,32.0000,19.0000,-85.3450
0.5250,-0.1090,-1.2430, 9.0000, 8.0000,-82.8060
0.3310,0.5100,-1.5740,-50.0000, 4.0000,-75.7810
